"Project Key","Issue ID","Issue Type","Summary","Description","Epic Name","Epic Link","Priority","Story Points","Labels","Parent ID"
"SUNIT8","1001","Epic","Authentication","Current state: login UI, auth context, and protected-route scaffolding exist. Remaining work: finalize session handling, logout, and role-based redirects. Acceptance Criteria: secure access is consistent and role-aware navigation works.","Authentication","","Highest","0","epic,auth,security",""
"SUNIT8","1002","Epic","Transaction Management","Current state: transaction packages and frontend transaction views exist. Remaining work: finish ingestion, listing, detail, and validation integration. Acceptance Criteria: the transaction lifecycle is usable end to end.","Transaction Management","","Highest","0","epic,transactions,api",""
"SUNIT8","1003","Epic","Validation Engine","Current state: validation services and error entities exist. Remaining work: finish request validation rules and persistence of validation failures. Acceptance Criteria: invalid input is rejected with usable error data.","Validation Engine","","Highest","0","epic,validation,backend",""
"SUNIT8","1004","Epic","Rule Engine","Current state: rule entities, controllers, services, and validation helpers exist. Remaining work: finalize rule listing, updates, and defensive validation. Acceptance Criteria: operators can manage rule configuration safely.","Rule Engine","","Highest","0","epic,rules,backend",""
"SUNIT8","1005","Epic","Risk Scoring","Current state: risk-focused backend structure is present. Remaining work: calculate scores, explain results, and wire outputs into alerts. Acceptance Criteria: every transaction can receive a consistent risk result.","Risk Scoring","","Highest","0","epic,risk,backend",""
"SUNIT8","1006","Epic","Alert Generation","Current state: alert screens and backend alert package structure exist. Remaining work: generate alerts from rules and risk output and support lifecycle actions. Acceptance Criteria: analysts can review and act on alerts.","Alert Generation","","Highest","0","epic,alerts,backend",""
"SUNIT8","1007","Epic","Case Management","Current state: case-management screens exist in the frontend scaffold. Remaining work: create a real investigation workflow connected to alerts and transactions. Acceptance Criteria: analysts can manage cases from start to finish.","Case Management","","High","0","epic,cases,analyst",""
"SUNIT8","1008","Epic","Dashboard and Analytics","Current state: dashboard components and chart widgets exist. Remaining work: connect live metrics, improve role-specific insights, and refine admin views. Acceptance Criteria: users can understand the operational state at a glance.","Dashboard and Analytics","","High","0","epic,dashboard,analytics,frontend",""
"SUNIT8","1009","Epic","Reports","Current state: reports page and export utilities exist. Remaining work: finish live-data reporting and export behaviors. Acceptance Criteria: reports are readable and exportable.","Reports","","High","0","epic,reports,frontend",""
"SUNIT8","1010","Epic","UI/UX","Current state: layout, theme, navbar, sidebar, and motion helpers exist. Remaining work: improve consistency, accessibility, and polish. Acceptance Criteria: the product feels coherent and professional.","UI/UX","","High","0","epic,ui,ux,frontend",""
"SUNIT8","1011","Epic","Backend Integration","Current state: shared API client and backend CORS support exist. Remaining work: make local integration predictable and stable. Acceptance Criteria: frontend and backend communicate cleanly in development.","Backend Integration","","Highest","0","epic,integration,backend,frontend",""
"SUNIT8","1012","Epic","Testing","Current state: backend integration tests already exist for rules and transactions. Remaining work: add broader regression, smoke, and contract coverage. Acceptance Criteria: core flows are protected from regressions.","Testing","","Highest","0","epic,testing,qa",""
"SUNIT8","1013","Epic","Performance","Current state: application is functional on demo-sized data. Remaining work: keep charts, lists, and queries responsive as data grows. Acceptance Criteria: key screens stay fast and usable.","Performance","","Medium","0","epic,performance",""
"SUNIT8","1014","Epic","Deployment","Current state: local backend startup and docs are partially in place. Remaining work: finish runbooks, release readiness, and signoff structure. Acceptance Criteria: the team can repeat local and release steps reliably.","Deployment","","High","0","epic,deployment,release",""
"SUNIT8","2001","Story","Implement login flow and session handling","Current state: login UI and auth context exist. Goal: sign in users, persist session state, and redirect by role. Acceptance Criteria: valid credentials sign in; invalid credentials show a clear error; session persists; user lands on the correct role page.","","Authentication","Highest","5","auth,frontend,backend,security",""
"SUNIT8","2002","Story","Protect application pages and support logout","Current state: protected-route scaffolding exists. Goal: block unauthenticated access and clear session data on logout. Acceptance Criteria: protected pages redirect to login; logout clears local auth state; guests cannot access private routes.","","Authentication","High","3","auth,ui,security,frontend",""
"SUNIT8","3001","Task","Build login screen and field validation","Work item for the login story. Acceptance Criteria: the form validates before submit, fields show errors, and the login UI remains usable on desktop.","","Authentication","Highest","1","task,auth,frontend","2001"
"SUNIT8","4001","Sub-task","Keep password visibility and remember-me behavior","Implementation step for login UI. Acceptance Criteria: password visibility toggles correctly and remember-me behavior remains intact.","","Authentication","High","1","subtask,auth,frontend","3001"
"SUNIT8","3002","Task","Wrap protected routes and wire logout","Work item for session protection. Acceptance Criteria: protected pages redirect correctly, logout clears state, and route protection stays reusable.","","Authentication","High","1","task,auth,frontend","2002"
"SUNIT8","4002","Sub-task","Verify redirects after refresh","Implementation step for route protection. Acceptance Criteria: refreshing a protected route still redirects correctly when the session is missing.","","Authentication","Medium","1","subtask,auth,frontend","3002"
"SUNIT8","2003","Story","Create transaction ingestion endpoint","Current state: transaction backend packages and frontend transaction views exist. Goal: accept, validate, and persist transactions. Acceptance Criteria: valid payloads are stored; invalid payloads return structured validation errors; responses include identity and status.","","Transaction Management","Highest","8","transactions,backend,api",""
"SUNIT8","2004","Story","Add list and filter support for transactions","Goal: provide operational filters for transaction review and reporting. Acceptance Criteria: transactions can be listed; filters work for search and status; pagination remains stable.","","Transaction Management","High","5","transactions,backend,reporting",""
"SUNIT8","2005","Story","Expose transaction detail endpoint","Goal: return transaction details, route hops, validation results, and risk context. Acceptance Criteria: existing transactions return full detail payloads; missing transactions return a clear 404; the payload supports the frontend detail page.","","Transaction Management","High","5","transactions,backend,api",""
"SUNIT8","3003","Task","Implement request DTO and persistence flow","Work item for transaction ingestion. Acceptance Criteria: request data maps correctly, transaction data persists, and the success envelope is normalized.","","Transaction Management","Highest","1","task,transactions,backend","2003"
"SUNIT8","4003","Sub-task","Validate currency amount and route sequence","Implementation step for ingestion. Acceptance Criteria: currency, amount, and route sequence are validated before persistence.","","Transaction Management","High","1","subtask,transactions,backend","3003"
"SUNIT8","3004","Task","Add search status and pagination support","Work item for transaction list filtering. Acceptance Criteria: search and status filters work and pagination remains consistent.","","Transaction Management","High","1","task,transactions,backend","2004"
"SUNIT8","4004","Sub-task","Confirm list queries on seeded data","Implementation step for list filters. Acceptance Criteria: the filtered list behaves correctly against demo-sized data.","","Transaction Management","Medium","1","subtask,transactions,backend","3004"
